CustomerID,Age,Gender,MaritalStatus,IncomeLevel,LoginFrequency,ServiceUsage,Total_Transactions,Total_Amount_Spent,Avg_Amount_Spent,Total_Service_Interactions,Total_Complaints,Total_Unresolved,ChurnStatus,Days_Since_Last_Login
98,38,F,Divorced,Low,9,Mobile App,5,893.76,178.752,1.0,0.0,0.0,0,222
99,53,M,Widowed,Low,14,Online Banking,5,889.75,177.95,0.0,0.0,0.0,0,324
100,41,F,Married,Low,45,Online Banking,4,1108.56,277.14,2.0,1.0,0.0,1,212
101,33,F,Single,High,35,Online Banking,1,492.35,492.35,2.0,0.0,1.0,0,350
102,31,M,Married,High,32,Online Banking,6,2029.96,338.32666666666665,2.0,1.0,1.0,0,351
103,39,M,Widowed,Low,46,Mobile App,9,2297.73,255.30333333333334,2.0,0.0,0.0,0,248
104,66,F,Widowed,Medium,3,Online Banking,9,2666.84,296.3155555555556,2.0,0.0,1.0,1,283
105,67,F,Widowed,Low,30,Website,8,1863.6,232.95,2.0,0.0,2.0,0,7
106,23,M,Married,High,49,Mobile App,3,875.08,291.6933333333333,2.0,1.0,1.0,0,164
107,59,F,Married,High,7,Online Banking,6,1542.76,257.12666666666667,0.0,0.0,0.0,1,338
108,53,M,Divorced,Low,1,Mobile App,2,494.30999999999995,247.15499999999997,2.0,0.0,2.0,1,282
109,18,M,Married,Medium,20,Mobile App,6,1274.7,212.45000000000002,2.0,1.0,2.0,0,247
110,49,M,Married,Medium,25,Website,3,723.0,241.0,2.0,0.0,0.0,1,82
111,23,F,Widowed,High,33,Website,2,613.1800000000001,306.59000000000003,1.0,0.0,1.0,1,197
112,48,F,Divorced,High,35,Website,3,750.17,250.05666666666664,1.0,0.0,0.0,0,76
113,18,F,Married,High,44,Online Banking,7,1834.01,262.00142857142856,1.0,1.0,1.0,0,263
114,67,F,Married,Low,24,Website,8,2133.28,266.66,0.0,0.0,0.0,0,151
115,68,F,Widowed,High,14,Mobile App,5,653.62,130.724,0.0,0.0,0.0,0,101
116,54,M,Married,High,39,Mobile App,7,1504.28,214.89714285714285,1.0,1.0,0.0,0,133
117,52,F,Widowed,High,44,Online Banking,2,448.48,224.24,0.0,0.0,0.0,0,6
118,66,M,Divorced,Medium,34,Online Banking,6,1625.39,270.89833333333337,1.0,0.0,1.0,0,91
119,47,M,Widowed,Medium,18,Mobile App,8,2012.3300000000002,251.54125000000002,2.0,1.0,0.0,1,277
120,21,F,Widowed,High,2,Online Banking,6,1168.79,194.79833333333332,2.0,1.0,1.0,0,311
121,52,M,Divorced,Medium,38,Mobile App,5,1073.01,214.602,2.0,2.0,1.0,0,113
122,60,F,Single,Medium,17,Mobile App,9,2825.52,313.94666666666666,1.0,0.0,0.0,1,200
123,31,M,Widowed,Medium,23,Mobile App,3,938.58,312.86,2.0,0.0,0.0,1,291
124,66,M,Married,Medium,33,Website,7,2283.88,326.2685714285714,2.0,0.0,0.0,0,315
125,57,M,Widowed,Low,28,Online Banking,2,744.89,372.445,0.0,0.0,0.0,0,193
126,39,F,Divorced,Medium,15,Website,9,2323.02,258.11333333333334,0.0,0.0,0.0,0,231
127,27,F,Married,Medium,11,Website,8,1976.17,247.02125,1.0,0.0,0.0,0,347
128,18,F,Divorced,Medium,23,Website,2,630.2,315.1,2.0,2.0,1.0,1,177
129,28,F,Widowed,Medium,13,Website,2,243.55,121.775,1.0,0.0,0.0,0,285
130,68,M,Divorced,Low,47,Mobile App,2,552.23,276.115,1.0,0.0,1.0,0,309
131,61,F,Divorced,Low,11,Website,8,2726.7,340.8375,1.0,0.0,0.0,0,98
132,41,F,Single,High,36,Website,9,1879.94,208.88222222222223,0.0,0.0,0.0,0,199
133,20,M,Widowed,Medium,38,Mobile App,4,896.27,224.0675,1.0,0.0,0.0,0,262
134,52,M,Widowed,Medium,27,Mobile App,6,1570.08,261.68,1.0,0.0,1.0,0,360
135,53,F,Widowed,High,18,Mobile App,2,441.75,220.875,0.0,0.0,0.0,0,195
136,48,M,Widowed,Low,40,Mobile App,2,419.86,209.93,0.0,0.0,0.0,0,54
137,21,F,Married,High,38,Online Banking,1,431.47,431.47,0.0,0.0,0.0,1,195
138,36,M,Divorced,Low,34,Online Banking,8,2804.65,350.58125,1.0,0.0,1.0,0,286
139,64,F,Widowed,High,22,Website,7,2045.49,292.21285714285716,2.0,0.0,1.0,0,211
140,53,M,Married,High,18,Mobile App,3,1024.23,341.41,1.0,0.0,0.0,0,71
141,38,F,Widowed,Medium,41,Online Banking,7,2483.75,354.82142857142856,2.0,2.0,0.0,0,186
142,35,M,Divorced,High,18,Mobile App,5,1391.99,278.398,1.0,0.0,1.0,0,248
143,68,F,Widowed,Low,13,Website,2,343.27,171.635,1.0,0.0,0.0,0,6
144,45,F,Married,Low,39,Online Banking,1,419.85,419.85,1.0,0.0,0.0,1,316
145,32,F,Married,High,16,Online Banking,5,1768.7,353.74,2.0,1.0,2.0,0,81
146,59,F,Divorced,Low,8,Mobile App,5,1373.73,274.746,0.0,0.0,0.0,0,19
147,19,F,Widowed,High,34,Mobile App,8,2260.34,282.5425,2.0,1.0,1.0,0,120
148,54,F,Married,Medium,29,Website,1,13.04,13.04,2.0,1.0,1.0,0,297
149,28,M,Single,Medium,6,Online Banking,1,444.84,444.84,1.0,1.0,0.0,0,317
150,40,F,Widowed,Medium,38,Mobile App,8,1193.26,149.1575,0.0,0.0,0.0,0,185
151,61,M,Single,Medium,36,Mobile App,1,334.2,334.2,2.0,0.0,1.0,0,212
152,58,F,Married,High,48,Mobile App,7,1448.8,206.97142857142856,0.0,0.0,0.0,0,92
153,29,M,Married,Low,42,Online Banking,5,1735.16,347.03200000000004,1.0,1.0,1.0,0,339
154,20,F,Divorced,High,26,Mobile App,7,1753.55,250.50714285714284,0.0,0.0,0.0,0,256
155,69,M,Divorced,Low,18,Website,8,1883.08,235.385,2.0,2.0,0.0,0,267
156,34,F,Widowed,High,11,Mobile App,7,702.9200000000001,100.41714285714286,0.0,0.0,0.0,0,184
157,50,M,Married,Low,27,Mobile App,7,2412.6800000000003,344.66857142857145,0.0,0.0,0.0,0,201
158,18,F,Married,Low,30,Online Banking,7,1471.29,210.18428571428572,0.0,0.0,0.0,0,89
159,56,M,Married,High,18,Website,1,25.75,25.75,2.0,1.0,2.0,0,234
160,37,M,Married,Medium,43,Online Banking,8,2053.13,256.64125,2.0,1.0,1.0,1,243
161,64,M,Single,High,4,Mobile App,6,1983.84,330.64,1.0,1.0,1.0,0,160
162,60,F,Married,Medium,6,Mobile App,3,425.88,141.96,2.0,1.0,1.0,0,203
163,69,M,Divorced,High,22,Mobile App,3,1064.88,354.96000000000004,2.0,0.0,1.0,0,352
164,58,F,Widowed,Low,2,Website,5,955.49,191.098,1.0,0.0,0.0,1,36
165,31,F,Widowed,Medium,47,Mobile App,1,181.34,181.34,0.0,0.0,0.0,0,305
166,48,F,Widowed,Low,48,Online Banking,5,1241.5,248.3,1.0,0.0,0.0,0,150
167,42,F,Single,Low,40,Website,8,2356.35,294.54375,1.0,0.0,0.0,0,303
168,20,M,Married,Low,32,Website,4,1126.93,281.7325,2.0,2.0,1.0,1,124
169,21,F,Widowed,High,39,Mobile App,9,2164.75,240.52777777777777,1.0,0.0,1.0,0,196
170,48,M,Divorced,Low,21,Website,7,1448.33,206.9042857142857,1.0,0.0,1.0,1,80
171,52,F,Single,High,8,Mobile App,7,2532.71,361.8157142857143,1.0,0.0,0.0,0,241
172,61,M,Married,Medium,25,Website,6,1972.76,328.79333333333335,2.0,1.0,1.0,0,19
173,31,F,Married,Low,41,Mobile App,3,606.09,202.03,1.0,0.0,0.0,0,70
174,66,F,Married,Medium,36,Mobile App,7,1801.46,257.3514285714286,1.0,1.0,1.0,1,297
175,58,M,Married,Medium,4,Website,7,1218.9,174.12857142857143,2.0,0.0,1.0,0,34
176,26,F,Single,High,15,Website,6,936.78,156.13,0.0,0.0,0.0,1,99
177,37,F,Divorced,Medium,28,Website,1,429.79,429.79,1.0,0.0,1.0,0,301
178,49,F,Married,High,20,Website,3,741.63,247.21,0.0,0.0,0.0,0,239
179,26,F,Single,High,38,Website,2,412.58000000000004,206.29000000000002,0.0,0.0,0.0,0,116
180,44,F,Single,Medium,6,Online Banking,7,1985.93,283.70428571428573,0.0,0.0,0.0,0,335
181,20,F,Divorced,Medium,30,Mobile App,2,715.6800000000001,357.84000000000003,0.0,0.0,0.0,0,253
182,21,F,Single,Medium,32,Online Banking,5,1491.65,298.33000000000004,2.0,0.0,0.0,0,202
183,62,F,Single,High,49,Online Banking,3,1135.44,378.48,1.0,0.0,0.0,1,254
184,32,M,Widowed,High,41,Online Banking,2,97.19,48.595,0.0,0.0,0.0,0,261
185,50,F,Widowed,Medium,4,Online Banking,6,1284.89,214.14833333333334,2.0,1.0,0.0,0,69
186,22,M,Divorced,High,35,Mobile App,3,460.87,153.62333333333333,0.0,0.0,0.0,0,74
187,21,F,Widowed,Medium,30,Mobile App,2,513.26,256.63,2.0,1.0,0.0,0,356
188,63,M,Single,High,49,Mobile App,6,1768.25,294.7083333333333,2.0,0.0,1.0,0,277
189,29,M,Single,High,41,Mobile App,3,574.4699999999999,191.48999999999998,2.0,0.0,1.0,0,193
190,40,M,Divorced,Low,22,Website,7,1417.97,202.56714285714287,1.0,0.0,1.0,1,274
191,31,F,Single,Low,2,Website,7,1942.65,277.5214285714286,2.0,0.0,1.0,0,319
192,63,F,Divorced,Medium,12,Website,3,1172.53,390.8433333333333,2.0,1.0,1.0,0,177
193,29,M,Widowed,Low,34,Website,1,270.34,270.34,2.0,0.0,1.0,0,234
194,34,F,Widowed,High,34,Website,5,1388.97,277.794,0.0,0.0,0.0,0,69
195,42,F,Married,Medium,14,Website,6,1711.71,285.285,2.0,0.0,1.0,0,299
196,47,M,Widowed,Low,39,Website,8,2134.16,266.77,2.0,1.0,2.0,0,343
197,39,F,Married,Medium,39,Online Banking,4,925.4300000000001,231.35750000000002,2.0,1.0,1.0,1,290
198,64,M,Married,Medium,45,Online Banking,7,1461.25,208.75,0.0,0.0,0.0,0,193
199,43,M,Married,High,6,Website,6,1270.25,211.70833333333334,2.0,1.0,1.0,0,357
200,34,F,Single,Low,8,Online Banking,6,1702.06,283.6766666666667,2.0,1.0,0.0,0,324
201,37,M,Married,High,27,Online Banking,3,956.5799999999999,318.85999999999996,2.0,0.0,1.0,1,139
202,51,F,Widowed,Medium,12,Mobile App,1,336.18,336.18,2.0,0.0,0.0,0,299
203,58,F,Divorced,Medium,21,Website,6,1767.9,294.65000000000003,2.0,2.0,0.0,0,259
204,50,F,Widowed,Medium,38,Online Banking,2,454.14,227.07,2.0,0.0,1.0,0,237
205,54,F,Divorced,Low,4,Mobile App,4,741.9699999999999,185.49249999999998,0.0,0.0,0.0,0,338
206,24,M,Widowed,High,25,Mobile App,1,99.58,99.58,0.0,0.0,0.0,0,34
207,39,F,Divorced,High,43,Website,8,1799.17,224.89625,0.0,0.0,0.0,0,278
208,49,F,Widowed,Low,24,Online Banking,2,436.89,218.445,0.0,0.0,0.0,0,211
209,31,F,Divorced,High,12,Mobile App,4,1328.06,332.015,0.0,0.0,0.0,0,80
210,25,M,Married,High,29,Online Banking,7,1727.27,246.75285714285715,0.0,0.0,0.0,0,160
211,42,M,Divorced,Medium,35,Online Banking,6,1222.21,203.70166666666668,0.0,0.0,0.0,0,303
212,33,F,Married,Medium,37,Website,7,1047.61,149.6585714285714,1.0,0.0,0.0,0,200
213,59,F,Widowed,Medium,30,Website,7,2092.89,298.9842857142857,1.0,1.0,0.0,1,311
214,36,F,Divorced,Low,41,Online Banking,2,734.1,367.05,0.0,0.0,0.0,0,59
215,58,F,Divorced,Medium,42,Online Banking,6,1343.7,223.95000000000002,2.0,1.0,2.0,0,54
216,33,F,Widowed,High,35,Mobile App,5,1570.8600000000001,314.172,2.0,0.0,0.0,0,116
217,29,M,Married,Low,1,Online Banking,8,2576.78,322.0975,1.0,0.0,1.0,1,139
218,56,F,Married,High,40,Mobile App,7,1766.57,252.36714285714285,0.0,0.0,0.0,0,202
219,65,M,Single,Low,26,Online Banking,4,1624.32,406.08,0.0,0.0,0.0,0,166
220,47,M,Single,High,35,Online Banking,3,1030.46,343.4866666666667,0.0,0.0,0.0,0,49
221,19,F,Single,Low,42,Mobile App,4,1277.29,319.3225,1.0,1.0,0.0,1,198
222,49,M,Divorced,High,7,Website,7,1702.45,243.20714285714286,0.0,0.0,0.0,0,211
223,62,F,Divorced,Medium,4,Online Banking,6,1736.26,289.37666666666667,1.0,0.0,0.0,0,162
224,42,M,Divorced,Low,5,Website,8,2520.32,315.04,0.0,0.0,0.0,0,229
225,42,M,Widowed,High,39,Online Banking,8,2650.29,331.28625,2.0,0.0,1.0,0,169
226,21,F,Single,High,11,Mobile App,7,1461.18,208.74,1.0,0.0,1.0,0,296
227,36,M,Widowed,High,15,Online Banking,7,1250.35,178.62142857142857,0.0,0.0,0.0,1,53
228,65,F,Single,High,32,Website,6,2185.36,364.2266666666667,2.0,0.0,1.0,0,76
229,21,F,Single,Medium,37,Website,9,2559.03,284.3366666666667,1.0,0.0,1.0,0,8
230,60,F,Divorced,Medium,9,Online Banking,6,1468.07,244.6783333333333,2.0,2.0,1.0,1,118
231,30,F,Married,Low,47,Online Banking,4,1353.42,338.355,0.0,0.0,0.0,1,314
232,56,F,Single,Low,32,Online Banking,8,2082.19,260.27375,2.0,0.0,2.0,0,114
233,53,F,Married,High,33,Website,3,817.4200000000001,272.47333333333336,2.0,0.0,0.0,0,104
234,40,M,Widowed,Low,23,Online Banking,8,1576.7,197.0875,0.0,0.0,0.0,1,195
235,23,M,Divorced,High,15,Mobile App,3,770.5,256.8333333333333,2.0,0.0,2.0,0,3
236,41,F,Single,Low,30,Online Banking,6,1482.99,247.165,2.0,1.0,0.0,1,97
237,61,M,Divorced,Low,16,Online Banking,1,398.99,398.99,0.0,0.0,0.0,1,352
238,50,M,Widowed,High,22,Mobile App,3,762.4399999999999,254.14666666666665,1.0,0.0,1.0,1,102
239,29,F,Married,Medium,43,Mobile App,9,2654.84,294.9822222222222,1.0,1.0,1.0,1,83
240,58,M,Divorced,High,30,Online Banking,2,859.47,429.735,1.0,1.0,0.0,0,157
241,38,F,Divorced,Medium,1,Mobile App,9,2185.9300000000003,242.88111111111115,1.0,1.0,0.0,0,12
242,28,F,Single,Low,35,Online Banking,3,726.73,242.24333333333334,2.0,1.0,1.0,1,318
243,61,M,Married,Medium,18,Website,9,2362.18,262.46444444444444,1.0,0.0,1.0,0,22
244,55,F,Widowed,High,15,Online Banking,7,1649.9,235.70000000000002,2.0,2.0,2.0,0,193
245,46,F,Single,Low,21,Online Banking,9,2965.09,329.45444444444445,0.0,0.0,0.0,0,227
246,65,F,Divorced,Medium,40,Mobile App,4,1171.1399999999999,292.78499999999997,1.0,0.0,0.0,0,282
247,58,F,Divorced,Medium,2,Online Banking,7,1887.6799999999998,269.6685714285714,2.0,1.0,0.0,0,7
248,20,M,Married,High,30,Online Banking,5,1519.1399999999999,303.828,1.0,1.0,1.0,1,127
249,45,F,Widowed,Low,40,Website,1,356.39,356.39,1.0,1.0,1.0,0,328
250,37,M,Widowed,Low,32,Website,7,1607.36,229.62285714285713,1.0,0.0,0.0,0,356
251,43,F,Divorced,Medium,28,Website,7,1968.79,281.2557142857143,1.0,1.0,0.0,1,282
252,41,M,Widowed,Medium,11,Online Banking,4,980.71,245.1775,0.0,0.0,0.0,1,142
253,69,M,Single,Medium,7,Online Banking,5,1319.11,263.822,1.0,1.0,0.0,0,28
254,64,F,Married,Low,1,Mobile App,9,2220.26,246.6955555555556,2.0,1.0,1.0,1,128
255,38,M,Divorced,Medium,43,Mobile App,7,2672.69,381.8128571428571,1.0,1.0,1.0,0,197
256,47,F,Widowed,Medium,28,Mobile App,1,208.67,208.67,2.0,0.0,1.0,0,127
257,21,F,Widowed,Low,39,Website,1,92.62,92.62,1.0,0.0,0.0,0,334
258,53,M,Single,Low,19,Mobile App,4,832.85,208.2125,2.0,1.0,1.0,0,197
259,57,M,Widowed,High,39,Online Banking,6,1469.67,244.94500000000002,1.0,0.0,0.0,0,290
260,27,M,Single,Low,32,Website,8,2395.72,299.465,1.0,0.0,0.0,1,129
261,27,M,Married,Low,49,Online Banking,1,489.07,489.07,1.0,1.0,1.0,1,216
262,59,F,Divorced,High,30,Website,9,2940.59,326.7322222222222,2.0,0.0,2.0,1,330
263,41,M,Single,Low,2,Website,1,13.04,13.04,2.0,1.0,0.0,0,3
264,21,F,Widowed,High,44,Online Banking,2,525.02,262.51,1.0,0.0,0.0,0,298
265,64,M,Widowed,Low,43,Online Banking,5,1511.8700000000001,302.374,0.0,0.0,0.0,0,269
266,44,M,Married,High,37,Online Banking,1,459.39,459.39,1.0,0.0,0.0,0,358
267,68,F,Single,Medium,19,Online Banking,3,461.36,153.78666666666666,1.0,0.0,1.0,0,37
268,62,M,Divorced,Medium,26,Mobile App,5,1096.16,219.23200000000003,0.0,0.0,0.0,0,12
269,21,F,Widowed,Medium,1,Mobile App,9,2123.87,235.98555555555555,2.0,0.0,1.0,0,198
270,49,M,Single,High,42,Mobile App,3,734.74,244.91333333333333,1.0,0.0,1.0,0,263
271,27,M,Widowed,Medium,28,Online Banking,3,865.97,288.6566666666667,0.0,0.0,0.0,1,64
272,28,F,Divorced,Low,26,Online Banking,8,1170.04,146.255,2.0,0.0,2.0,1,168
273,45,F,Single,High,40,Mobile App,7,1562.83,223.26142857142855,0.0,0.0,0.0,0,123
274,63,F,Widowed,Low,35,Online Banking,4,1117.33,279.3325,1.0,0.0,1.0,0,341
275,25,F,Divorced,Low,3,Website,3,605.79,201.92999999999998,2.0,0.0,1.0,0,199
276,57,F,Single,Low,26,Online Banking,7,2069.7,295.6714285714285,0.0,0.0,0.0,1,212
277,39,F,Single,High,33,Mobile App,6,1217.78,202.96333333333334,0.0,0.0,0.0,0,178
278,51,F,Married,Low,22,Online Banking,5,1423.1,284.62,1.0,0.0,1.0,0,312
